,ID,Sex,DR,Use,RecDate,BirthDate,Ht,Race,Edu,age,height
45,BSB0,M,8,TRN,02/24/86,12/17/62,"5'11""",WHT,??,23.19,180.34
46,BTH0,M,7,TRN,03/12/86,05/11/62,"6'02""",WHT,BS,23.84,187.96
47,BWM0,M,3,TST,02/17/86,12/20/54,"6'2""",WHT,HS,31.16,187.96
48,BWP0,M,4,TRN,02/21/86,04/28/47,"6'0""",WHT,BS,38.82,182.88
49,CAE0,M,6,TRN,03/07/86,05/28/57,"6'00""",BLK,HS,28.78,182.88
50,CAG0,F,4,TRN,03/18/86,03/10/62,"5'11""",WHT,MS,24.02,180.34
51,CAJ0,F,2,TRN,03/13/86,08/06/50,"5'08""",WHT,HS,35.6,172.72
52,CAL0,M,3,TRN,01/23/86,06/23/59,"6'3""",WHT,BS,26.58,190.5
53,CAL1,F,5,TST,02/28/86,01/20/56,"5'4""",WHT,HS,30.11,162.56
54,CAU0,F,7,TST,04/21/86,03/08/63,"5'10""",WHT,MS,23.12,177.8
55,CCS0,M,2,TST,03/12/86,05/27/42,"5'08""",WHT,HS,43.79,172.72
56,CDC0,M,3,TRN,02/13/86,10/19/59,"5'9""",WHT,BS,26.32,175.26
57,CDD0,M,3,TRN,03/19/86,05/04/55,"6'02""",WHT,BS,30.87,187.96
58,CDR0,M,4,TRN,01/27/86,12/29/60,"5'10""",WHT,BS,25.08,177.8
59,CDR1,F,5,TRN,01/29/86,10/22/62,"5'8""",BLK,HS,23.27,172.72
60,CEF0,M,3,TRN,01/23/86,11/23/57,"5'8""",WHT,BS,28.17,172.72
61,CEG0,F,8,TRN,02/05/86,09/10/58,"5'3""",WHT,BS,27.4,160.02
62,CEM0,M,2,TST,02/27/86,09/09/57,"5'9""",BLK,??,28.47,175.26
63,CEW0,M,2,TRN,03/06/86,07/09/39,"6'02""",WHT,MS,46.66,187.96
64,CFT0,F,4,TST,01/29/86,03/10/63,"5'3""",WHT,HS,22.89,160.02
65,CHH0,M,7,TST,04/15/86,09/25/42,"6'5""",WHT,PHD,43.55,195.58
66,CHL0,M,5,TRN,02/24/86,12/11/60,"6'3""",WHT,HS,25.2,190.5
67,CJF0,F,1,TRN,04/18/86,08/31/62,"5'4""",WHT,BS,23.63,162.56
68,CJS0,F,7,TRN,04/09/86,07/10/44,"5'9""",WHT,MS,41.75,175.26
69,CKE0,F,3,TRN,01/21/86,03/26/60,"5'8""",WHT,BS,25.82,172.72
70,CLK0,M,7,TRN,04/18/86,08/12/64,"5'10""",WHT,HS,21.68,177.8
71,CLM0,M,5,TRN,03/10/86,11/28/45,"6'03""",WHT,BS,40.28,190.5
72,CLT0,F,8,TRN,03/05/86,10/16/46,"5'0""",WHT,AS,39.39,152.4
73,CMB0,M,5,TST,02/11/86,09/06/48,"6'3""",WHT,PHD,37.43,190.5
74,CMG0,F,3,TRN,02/05/86,04/01/60,"5'6""",WHT,BS,25.85,167.64
75,CMH0,F,3,TST,03/10/86,06/06/43,"5'08""",WHT,MS,42.76,172.72
76,CMH1,F,8,TST,03/14/86,05/01/62,"5'06""",WHT,BS,23.87,167.64
77,CMJ0,M,6,TST,01/16/86,02/06/58,"5'7""",WHT,MS,27.94,170.18
78,CMM0,F,2,TRN,01/09/86,01/30/60,"5'2""",WHT,HS,25.94,157.48
79,CMR0,F,2,TST,01/21/86,04/06/51,"5'3""",WHT,MS,34.79,160.02
80,CPM0,M,1,TRN,01/30/86,02/18/62,"5'6""",WHT,BS,23.95,167.64
81,CRC0,M,5,TST,01/31/86,08/06/47,"5'7""",WHT,MS,38.49,170.18
82,CRE0,M,7,TRN,01/22/86,09/09/60,"6'0""",WHT,BS,25.37,182.88
83,CRH0,F,4,TST,01/17/86,02/24/58,"5'4""",BLK,HS,27.9,162.56
84,CRZ0,F,7,TRN,03/04/86,08/30/29,"5'2""",WHT,HS,56.51,157.48
85,CSH0,M,3,TST,03/25/86,11/19/32,"5'11""",WHT,BS,53.35,180.34
86,CSS0,M,4,TRN,02/26/86,09/14/61,"5'10""",WHT,BS,24.45,177.8
87,CTH0,M,7,TRN,01/31/86,10/16/59,"6'2""",WHT,MS,26.29,187.96
88,CTM0,M,2,TRN,02/24/86,08/29/55,"6'0""",WHT,HS,30.49,182.88
89,CTT0,M,5,TST,03/26/86,05/24/62,"5'11""",WHT,BS,23.84,180.34
90,CTW0,M,3,TST,02/25/86,02/26/60,"6'8""",???,BS,26.0,203.2
91,CXM0,M,8,TRN,02/24/86,09/07/58,"5'9""",HIS,HS,27.46,175.26
92,CYL0,F,2,TRN,02/14/86,02/16/59,"5'7""",WHT,BS,26.99,170.18
93,DAB0,M,1,TST,04/21/86,12/15/62,"5'11""",WHT,BS,23.35,180.34
94,DAC0,M,1,TRN,02/11/86,11/29/60,"5'10""",WHT,BS,25.2,177.8
95,DAC1,F,1,TST,03/12/86,11/05/18,"5'01""",WHT,HS,67.35,154.94
96,DAC2,M,5,TST,04/14/86,04/06/61,"5'10""",WHT,BS,25.02,177.8
97,DAS0,M,5,TRN,02/11/86,07/12/61,"6'1""",WHT,BS,24.58,185.42
98,DAS1,F,2,TRN,03/11/86,12/30/59,"5'09""",WHT,MS,26.2,175.26
99,DAW0,F,1,TRN,02/28/86,07/18/60,"5'4""",WHT,HS,25.61,162.56
100,DAW1,M,8,TST,03/10/86,11/17/57,"5'10""",WHT,BS,28.31,177.8
101,DBB0,M,2,TST,01/30/86,10/02/33,"5'10""",WHT,MS,52.33,177.8
102,DBB1,M,3,TRN,04/15/86,02/27/62,"5'11""",WHT,BS,24.13,180.34
103,DBP0,M,2,TRN,01/27/86,01/25/62,"5'9""",WHT,BS,24.01,175.26
104,DCD0,M,4,TRN,03/03/86,11/20/33,"5'11""",WHT,HS,52.28,180.34
105,DCM0,M,7,TRN,03/13/86,11/24/59,"5'11""",WHT,MS,26.3,180.34
106,DDC0,M,3,TRN,03/03/86,07/16/53,"5'7""",WHT,MS,32.63,170.18
107,DED0,M,7,TRN,01/28/86,12/20/59,"5'10""",???,BS,26.11,177.8
108,DEF0,M,3,TRN,03/31/86,01/29/52,"5'09""",WHT,BS,34.17,175.26
109,DEM0,M,2,TRN,02/05/86,09/11/61,"6'0""",WHT,BS,24.4,182.88
110,DFB0,F,3,TRN,02/19/86,11/01/61,"5'6""",???,BS,24.3,167.64
111,DHC0,F,7,TST,03/26/86,03/17/56,"5'07""",WHT,MS,30.02,170.18
112,DHL0,M,5,TRN,03/05/86,07/31/52,"5'8""",BLK,BS,33.6,172.72
113,DHS0,M,3,TRN,03/21/86,07/17/53,"5'06""",WHT,MS,32.68,167.64
114,DJH0,F,3,TRN,03/31/86,03/24/61,"5'02""",WHT,BS,25.02,157.48
115,DJM0,M,3,TRN,03/10/86,03/08/60,"6'04""",WHT,BS,26.01,193.04
116,DKN0,F,4,TRN,05/09/86,07/04/54,"6'0""",WHT,PHD,31.85,182.88
117,DKS0,M,7,TRN,05/02/86,03/25/57,"6'5""",WHT,BS,29.1,195.58
118,DLB0,M,2,TRN,02/17/86,05/17/51,"5'8""",WHT,AS,34.75,172.72
119,DLC0,M,3,TRN,02/27/86,04/28/42,"5'8""",WHT,??,43.83,172.72
120,DLC1,M,7,TRN,03/05/86,04/25/50,"6'1""",WHT,MS,35.86,185.42
121,DLC2,M,2,TRN,04/09/86,11/18/59,"5'9""",WHT,MS,26.39,175.26
122,DLD0,M,2,TST,03/25/86,07/23/61,"5'10""",WHT,MS,24.67,177.8
123,DLF0,M,7,TST,04/02/86,07/20/61,"6'03""",WHT,BS,24.7,190.5
124,DLH0,M,3,TRN,02/20/86,04/07/55,"5'11""",WHT,BS,30.87,180.34
125,DLM0,M,7,TRN,02/05/86,07/10/52,"6'2""",WHT,MS,33.57,187.96
126,DLR0,M,7,TRN,02/04/86,05/02/56,"5'8""",WHT,BS,29.76,172.72
127,DLR1,M,7,TRN,02/14/86,01/22/63,"5'9""",WHT,AS,23.06,175.26
128,DLS0,M,4,TST,04/14/86,06/26/59,"5'9""",WHT,MS,26.8,175.26
129,DMA0,M,4,TRN,03/04/86,04/22/58,"5'9""",WHT,MS,27.87,175.26
130,DML0,F,1,TRN,01/24/86,03/19/63,"5'6""",WHT,BS,22.85,167.64
131,DMS0,F,4,TST,02/03/86,01/30/54,"5'4""",WHT,BS,32.01,162.56
132,DMT0,M,2,TRN,01/31/86,07/13/56,"6'0""",WHT,MS,29.55,182.88
133,DMY0,F,5,TRN,01/30/86,08/30/60,"5'6""",BLK,AS,25.42,167.64
134,DNC0,F,2,TRN,02/12/86,04/27/46,"5'4""",WHT,HS,39.8,162.56
135,DNS0,M,3,TRN,04/16/86,11/23/55,"5'8""",WHT,BS,30.4,172.72
136,DPB0,M,7,TRN,03/18/86,09/07/59,"5'09""",WHT,MS,26.53,175.26
137,DPK0,M,1,TRN,04/29/86,09/07/60,"5'2""",WHT,BS,25.64,157.48
138,DPS0,M,2,TRN,02/24/86,05/22/53,"6'1""",WHT,HS,32.76,185.42
139,DRB0,M,5,TST,01/29/86,08/23/59,"6'0""",BLK,BS,26.43,182.88
140,DRD0,M,6,TRN,02/26/86,06/11/61,"6'5""",WHT,HS,24.71,195.58
141,DRD1,F,2,TST,03/25/86,07/24/63,"5'04""",WHT,BS,22.67,162.56
142,DRM0,M,4,TST,04/16/86,10/26/55,"6'0""",WHT,MS,30.47,182.88
143,DRW0,F,6,TST,02/13/86,11/29/61,"5'2""",WHT,BS,24.21,157.48
144,DSC0,M,6,TST,04/21/86,12/27/43,"5'7""",WHT,PHD,42.32,170.18
145,DSJ0,M,5,TRN,03/11/86,07/19/52,"6'02""",WHT,MS,33.64,187.96
146,DSS0,M,2,TRN,02/05/86,08/22/58,"5'9""",WHT,BS,27.46,175.26
147,DSS1,M,3,TRN,02/20/86,08/24/55,"6'1""",WHT,BS,30.49,185.42
148,DTB0,M,3,TRN,01/31/86,07/15/42,"5'10""",AMR,BS,43.55,177.8
149,DTD0,F,5,TRN,03/31/86,12/11/54,"5'08""",BLK,BS,31.3,172.72
150,DVC0,M,7,TST,03/31/86,02/11/55,"5'11""",WHT,PHD,31.13,180.34
151,DWA0,M,5,TST,03/06/86,09/18/59,"5'11""",WHT,BS,26.46,180.34
152,DWD0,M,2,TRN,02/11/86,07/03/62,"5'10""",WHT,BS,23.61,177.8
153,DWH0,M,5,TRN,02/14/86,02/12/62,"6'2""",WHT,BS,24.01,187.96
154,DWK0,M,5,TST,03/25/86,01/09/32,"5'08""",WHT,BS,54.21,172.72
155,DWM0,M,3,TRN,03/25/86,02/01/62,"5'10""",WHT,BS,24.14,177.8
156,DXW0,F,2,TRN,03/19/86,12/31/61,"5'09""",WHT,BS,24.22,175.26
157,EAC0,F,2,TRN,02/05/86,11/27/50,"5'4""",WHT,BS,35.19,162.56
158,EAL0,M,6,TRN,03/25/86,11/02/63,"5'10""",WHT,BS,22.39,177.8
159,EAR0,F,5,TRN,02/05/86,12/03/45,"5'8""",WHT,HS,40.17,172.72
160,ECD0,F,1,TRN,03/03/86,03/08/49,"5'2""",WHT,BS,36.99,157.48
161,EDR0,M,1,TRN,02/25/86,11/01/60,"5'6""",???,BS,25.32,167.64
162,EDW0,F,4,TST,01/15/86,01/17/60,"5'7""",BLK,HS,25.99,170.18
163,EEH0,F,4,TRN,01/21/86,03/10/62,"5'4""",WHT,BS,23.87,162.56
164,EFG0,M,2,TRN,01/16/86,02/26/56,"5'8""",WHT,BS,29.89,172.72
165,EGJ0,M,5,TRN,02/20/86,05/11/54,"6'4""",WHT,??,31.78,193.04
166,EJL0,M,6,TRN,04/02/86,08/01/57,"5'9""",WHT,MS,28.67,175.26
167,EJS0,M,8,TRN,02/05/86,03/28/50,"5'11""",WHT,MS,35.86,180.34
168,ELC0,F,1,TST,02/26/86,05/20/54,"5'4""",WHT,BS,31.77,162.56
169,EME0,F,3,TRN,03/18/86,03/29/34,"5'09""",WHT,BS,51.97,175.26
170,ERS0,M,7,TST,04/17/86,02/06/57,"5'8""",WHT,MS,29.19,172.72
171,ESD0,M,6,TST,04/15/86,01/04/62,"5'8""",WHT,BS,24.28,172.72
172,ESG0,M,4,TRN,02/20/86,05/24/63,"6'0""",WHT,??,22.74,182.88
173,ESJ0,M,6,TRN,04/14/86,12/31/57,"5'8""",WHT,BS,28.29,172.72
174,ETB0,F,1,TRN,01/24/86,06/16/60,"5'0""",WHT,BS,25.61,152.4
175,EWM0,M,5,TRN,02/24/86,11/29/63,"5'8""",WHT,HS,22.24,172.72
176,EXM0,F,5,TRN,01/20/86,12/03/54,"5'4""",BLK,MS,31.13,162.56
177,FER0,M,5,TRN,03/14/86,06/20/56,"6'03""",WHT,BS,29.73,190.5
178,FGK0,M,5,TST,01/21/86,01/25/57,"5'6""",WHT,BS,28.99,167.64
179,FMC0,M,3,TRN,01/23/86,08/27/61,"6'3""",WHT,BS,24.41,190.5
180,FRM0,M,4,TRN,01/27/86,04/10/56,"5'11""",WHT,BS,29.8,180.34
181,FWK0,M,4,TRN,02/05/86,10/19/48,"5'9""",WHT,BS,37.3,175.26
182,FXS0,M,7,TRN,04/23/86,04/19/46,"5'6""",WHT,BS,40.01,167.64
183,FXV0,M,7,TRN,04/15/86,07/09/41,"6'3""",WHT,PHD,44.77,190.5
184,GAF0,M,3,TRN,02/12/86,12/11/48,"5'11""",WHT,MS,37.17,180.34
185,GAG0,M,4,TRN,02/19/86,10/06/62,"6'0""",WHT,AS,23.37,182.88
186,GAK0,M,7,TRN,04/21/86,09/20/50,"6'2""",WHT,MS,35.58,187.96
187,GAR0,M,7,TRN,01/31/86,11/28/61,"5'10""",WHT,BS,24.17,177.8
188,GAW0,M,7,TRN,01/28/86,11/11/60,"5'11""",WHT,BS,25.21,180.34
189,GCS0,F,3,TRN,03/13/86,07/14/62,"5'03""",WHT,BS,23.66,160.02
190,GDP0,F,5,TRN,04/10/86,12/16/58,"4'10""",BLK,BS,27.32,147.32
191,GES0,M,5,TRN,03/13/86,02/21/60,"6'03""",WHT,MS,26.06,190.5
192,GJC0,M,4,TRN,02/20/86,07/29/62,"5'9""",WHT,??,23.56,175.26
193,GJD0,F,4,TST,01/29/86,12/10/60,"5'6""",WHT,HS,25.14,167.64
194,GJF0,M,3,TST,02/11/86,08/16/50,"5'11""",WHT,MS,35.49,180.34
195,GLB0,M,3,TST,03/24/86,04/22/49,"5'11""",WHT,MS,36.92,180.34
196,GMB0,F,5,TRN,01/24/86,07/10/58,"5'8""",WHT,MS,27.54,172.72
197,GMD0,F,5,TST,02/18/86,11/06/62,"5'3""",WHT,BS,23.28,160.02
198,GMM0,M,4,TST,01/23/86,08/19/62,"5'10""",WHT,BS,23.43,177.8
199,GRL0,M,1,TRN,03/18/86,02/20/48,"6'01""",WHT,BS,38.07,185.42
200,GRP0,M,4,TRN,02/18/86,02/20/29,"6'1""",WHT,MS,56.99,185.42
201,GRT0,M,7,TST,03/07/86,08/25/56,"6'03""",WHT,BS,29.53,190.5
202,GRW0,F,3,TRN,01/27/86,05/22/61,"5'3""",WHT,HS,24.68,160.02
203,GSH0,M,5,TRN,01/29/86,10/09/57,"6'0""",WHT,BS,28.31,182.88
204,GSL0,M,7,TRN,01/28/86,07/15/47,"6'4""",WHT,PHD,38.54,193.04
205,GWR0,F,7,TST,04/01/86,10/08/60,"5'08""",WHT,BS,25.48,172.72
206,GWT0,M,2,TST,03/25/86,07/15/21,"5'06""",WHT,BS,64.69,167.64
207,GXP0,M,4,TRN,02/03/86,05/15/50,"5'8""",BLK,BS,35.72,172.72
208,HBS0,M,7,TRN,04/01/86,02/15/62,"5'10""",WHT,BS,24.13,177.8
209,HES0,F,5,TST,01/21/86,11/29/60,"5'5""",WHT,MS,25.14,165.1
210,HEW0,F,5,TST,02/27/86,04/11/34,"5'0""",WHT,HS,51.88,152.4
211,HIT0,M,5,TRN,04/09/86,01/02/59,"5'9""",BLK,BS,27.27,175.26
212,HJB0,M,3,TRN,04/17/86,12/20/58,"6'1""",WHT,BS,27.33,185.42
213,HLM0,F,2,TRN,03/31/86,06/18/43,"5'03""",WHT,HS,42.78,160.02
214,HMG0,M,5,TRN,02/25/86,08/08/59,"5'11""",WHT,BS,26.55,180.34
215,HMR0,M,3,TRN,01/22/86,01/21/62,"5'10""",WHT,BS,24.0,177.8
216,HPG0,M,3,TST,01/17/86,09/19/47,"5'9""",WHT,BS,38.33,175.26
217,HRM0,M,2,TRN,04/02/86,07/02/56,"6'2""",WHT,AS,29.75,187.96
218,HXL0,M,7,TRN,01/24/86,09/09/51,"5'10""",ORN,MS,34.37,177.8
219,HXS0,F,6,TRN,05/07/86,08/20/41,"5'6""",WHT,BS,44.71,167.64
220,ILB0,M,3,TRN,03/24/86,06/07/55,"6'03""",WHT,BS,30.8,190.5
221,ISB0,F,7,TST,04/01/86,02/12/51,"5'10""",WHT,HS,35.13,177.8
222,JAC0,M,4,TRN,02/20/86,10/10/40,"5'8""",WHT,BS,45.36,172.72
223,JAE0,M,2,TRN,03/20/86,03/21/63,"5'09""",WHT,BS,23.0,175.26
224,JAI0,M,7,TRN,04/08/86,03/14/62,"5'10""",WHT,BS,24.07,177.8
225,JAR0,M,2,TST,02/25/86,11/13/61,"5'11""",WHT,BS,24.28,180.34
226,JAS0,F,2,TST,02/27/86,07/21/47,"5'8""",WHT,PHD,38.6,172.72
227,JBG0,M,2,TRN,02/04/86,04/14/59,"5'11""",WHT,BS,26.81,180.34
228,JBR0,M,3,TST,04/15/86,07/22/50,"5'10""",WHT,MS,35.73,177.8
229,JCS0,F,5,TST,02/18/86,12/27/51,"5'4""",WHT,BS,34.14,162.56
230,JDA0,M,3,TRN,04/18/86,03/01/54,"5'7""",WHT,BS,32.13,170.18
231,JDC0,M,4,TRN,01/28/86,09/29/58,"6'2""",WHT,BS,27.33,187.96
232,JDE0,M,2,TRN,01/22/86,09/20/62,"6'0""",WHT,BS,23.34,182.88
233,JDG0,M,7,TRN,04/23/86,11/12/56,"5'3""",ORN,BS,29.45,160.02
234,JDH0,M,6,TST,02/24/86,09/26/50,"6'1""",WHT,BS,35.41,185.42
235,JDM0,M,5,TRN,02/21/86,02/19/51,"6'1""",WHT,MS,35.01,185.42
236,JDM1,M,4,TST,03/07/86,05/17/61,"6'0""",WHT,BS,24.81,182.88
237,JDM2,F,6,TRN,04/01/86,10/06/55,"5'05""",WHT,BS,30.49,165.1
238,JEB0,M,2,TRN,02/13/86,12/21/47,"5'8""",WHT,MS,38.15,172.72
239,JEB1,M,1,TRN,03/12/86,01/25/59,"5'09""",WHT,MS,27.13,175.26
240,JEE0,M,4,TRN,02/05/86,06/29/56,"5'11""",WHT,MS,29.6,180.34
241,JEM0,F,1,TST,02/11/86,11/06/51,"5'6""",WHT,MS,34.27,167.64
242,JEN0,F,7,TRN,04/23/86,09/13/63,"5'8""",WHT,BS,22.61,172.72
243,JES0,M,3,TST,02/26/86,01/29/63,"5'5""",WHT,BS,23.08,165.1
244,JFC0,M,6,TST,04/21/86,03/16/59,"6'0""",WHT,BS,27.1,182.88
245,JFH0,M,5,TRN,01/21/86,01/25/58,"5'9""",WHT,MS,27.99,175.26
246,JFR0,M,7,TRN,04/09/86,10/09/39,"5'8""",WHT,MS,46.5,172.72
247,JHI0,M,2,TRN,02/20/86,05/28/52,"5'7""",BLK,HS,33.73,170.18
248,JHK0,F,7,TRN,04/17/86,07/21/60,"5'2""",???,MS,25.74,157.48
249,JJB0,M,3,TRN,01/23/86,04/18/59,"6'0""",WHT,BS,26.77,182.88
250,JJG0,M,3,TST,04/15/86,07/01/61,"6'1""",WHT,BS,24.79,185.42
251,JJJ0,M,4,TRN,01/28/86,11/16/39,"6'1""",WHT,BS,46.2,185.42
252,JJM0,M,7,TRN,03/11/86,06/24/62,"6'01""",WHT,BS,23.71,185.42
253,JKL0,F,2,TRN,03/31/86,01/31/59,"5'06""",WHT,BS,27.16,167.64
254,JKR0,M,3,TRN,01/31/86,12/02/53,"6'6""",WHT,MS,32.16,198.12
255,JLB0,M,4,TRN,04/10/86,08/02/63,"5'10""",WHT,BS,22.69,177.8
256,JLG0,F,3,TRN,02/06/86,10/14/62,"5'4""",WHT,BS,23.31,162.56
257,JLG1,M,3,TRN,04/16/86,12/24/59,"5'9""",WHT,BS,26.31,175.26
258,JLM0,F,4,TST,04/23/86,07/02/62,"5'3""",WHT,BS,23.81,160.02
259,JLN0,M,8,TST,03/07/86,10/02/55,"5'10""",WHT,MS,30.43,177.8
260,JLR0,F,3,TRN,02/04/86,12/01/60,"5'4""",WHT,BS,25.18,162.56
261,JLS0,M,4,TRN,01/17/86,06/01/60,"5'9""",WHT,BS,25.63,175.26
262,JMA0,M,2,TRN,03/18/86,04/11/62,"5'10""",WHT,BS,23.93,177.8
263,JMD0,M,2,TRN,04/18/86,03/29/58,"5'7""",WHT,MS,28.05,170.18
264,JMG0,F,4,TST,01/29/86,07/04/53,"5'5""",WHT,MS,32.57,165.1
265,JMM0,M,4,TRN,02/06/86,10/16/58,"5'9""",WHT,HS,27.31,175.26
266,JMP0,M,3,TST,03/24/86,09/29/62,"6'01""",WHT,BS,23.48,185.42
267,JPG0,M,5,TRN,01/30/86,09/28/62,"6'2""",WHT,BS,23.34,187.96
268,JPM0,M,2,TRN,02/25/86,04/29/58,"6'2""",WHT,BS,27.83,187.96
269,JPM1,M,4,TRN,02/27/86,02/06/38,"5'9""",WHT,HS,48.06,175.26
270,JRA0,M,7,TRN,02/05/86,04/11/55,"5'11""",WHT,BS,30.82,180.34
271,JRB0,F,8,TRN,02/17/86,08/10/58,"5'7""",WHT,AS,27.52,170.18
272,JRE0,F,2,TST,01/21/86,08/07/62,"5'6""",WHT,BS,23.46,167.64
273,JRF0,M,4,TST,03/10/86,12/05/45,"5'07""",WHT,MS,40.26,170.18
274,JRG0,M,5,TRN,02/25/86,10/15/56,"6'1""",WHT,BS,29.36,185.42
275,JRH0,M,4,TRN,01/22/86,12/12/60,"5'10""",WHT,BS,25.11,177.8
276,JRH1,M,3,TRN,01/24/86,05/22/62,"6'0""",WHT,BS,23.67,182.88
277,JRK0,M,6,TRN,03/19/86,07/16/40,"6'01""",WHT,MS,45.67,185.42
278,JRP0,M,2,TRN,02/03/86,06/23/58,"5'11""",WHT,HS,27.61,180.34
279,JRP1,F,7,TRN,03/04/86,08/07/40,"5'8""",WHT,HS,45.57,172.72
280,JSA0,F,5,TST,02/26/86,09/13/53,"5'7""",WHT,BS,32.45,170.18
281,JSJ0,F,8,TST,03/13/86,09/18/49,"5'05""",WHT,MS,36.48,165.1
282,JSK0,F,7,TRN,04/24/86,02/04/54,"5'10""",WHT,BS,32.22,177.8
283,JSP0,F,1,TRN,03/05/86,07/06/49,"5'3""",WHT,MS,36.66,160.02
284,JSR0,M,4,TRN,03/04/86,12/26/49,"5'11""",SPN,HS,36.19,180.34
285,JSW0,M,1,TST,04/16/86,07/15/53,"5'8""",WHT,MS,32.75,172.72
286,JTC0,M,8,TST,03/11/86,11/23/55,"5'11""",ORN,MS,30.3,180.34
287,JTH0,M,8,TST,02/14/86,07/26/58,"5'10""",WHT,MS,27.55,177.8
288,JVW0,M,3,TST,01/20/86,07/19/63,"6'0""",WHT,MS,22.51,182.88
289,JWB0,F,2,TST,02/11/86,02/26/54,"5'7""",WHT,MS,31.96,170.18
290,JWB1,F,4,TRN,03/04/86,04/12/56,"5'6""",WHT,BS,29.89,167.64
